Web,URL,Apartado,Descripción
Headers Club,https://headers.club,HERO SECTIONS,Galería de las mejores cabeceras de internet
Shader Gradient,https://shadergradient.co,COLORES/GRADIENTES,"Degradados animados, estáticos y fondos generados por IA"
Haikei,https://haikei.app,SVG/PATRONES,Generador interactivo de vectores y formas SVG personalizables
Aceternity UI,https://ui.aceternity.com,COMPONENTES UI,Componentes Tailwind CSS y Framer Motion listos para producción
Vengeance UI,https://vengenceui.com/components,COMPONENTES UI,Biblioteca de componentes React animados y microinteracciones
Catalyst UI Kit,https://catalyst.tailwindui.com,COMPONENTES UI,Kit oficial de Tailwind CSS con componentes interactivos
HorizonX,https://horizonx.so/explore,COMPONENTES UI,"Colección premium de kits de UI, componentes y plantillas"
Lightswind UI,https://lightswind.com,COMPONENTES UI,Componentes animados de React y bloques UI de alto rendimiento
Magic UI,https://magicui.design,COMPONENTES UI,Biblioteca de componentes y efectos animados sobre React
OriginKit,https://originkit.dev,COMPONENTES UI,Biblioteca en beta de componentes interactivos y animados
React Bits,https://reactbits.dev/components,COMPONENTES UI,Colección selecta de componentes animados para React
21st.dev,https://21st.dev,COMPONENTES UI,"Catálogo comunitario de 12,000+ componentes, temas y shaders para React"
shadcn/ui,https://ui.shadcn.com,COMPONENTES UI,Componentes accesibles y personalizables para sistemas de diseño
Toggle Supply,https://toggle.supply,COMPONENTES UI,Componentes interactivos CSS hechos a mano y efectos de scroll
Skiper UI,https://skiper-ui.com,COMPONENTES UI,Componentes poco comunes y de alta gama compatibles con shadcn/ui
Watermelon UI,https://ui.watermelon.sh,COMPONENTES UI,"Registro de componentes React, paneles y bloques de alta calidad"
Fontshare,https://fontshare.com,TIPOGRAFÍAS,Buscador y catálogo gratuito de fuentes tipográficas profesionales
React Icons,https://react-icons.github.io/react-icons,ICONOS/LOGOS,Biblioteca que agrupa sets de iconos populares para React
Endless Tools,https://endlesstools.io,3D/WEBGL,"Herramienta de diseño 3D, animación y efectos visuales"
Spline,https://spline.design,3D/WEBGL,Plataforma colaborativa para diseñar experiencias interactivas en 3D
Unicorn Studio,https://unicorn.studio/inspiration,3D/WEBGL,Herramienta sin código para crear y exportar efectos WebGL
Dark Design,https://dark.design,GALERÍAS DE INSPIRACIÓN,Galería de inspiración con diseños web de temática oscura
Footer Design,https://footer.design,GALERÍAS DE INSPIRACIÓN,Galería curada de inspiración para el diseño de pies de página
H1 Gallery,https://h1gallery.com,GALERÍAS DE INSPIRACIÓN,Galería inspiradora de titulares de marketing de internet
OGFolio,https://ogfolio.com,GALERÍAS DE INSPIRACIÓN,Galería de inspiración y análisis de imágenes Open Graph
Refero,https://refero.design,GALERÍAS DE INSPIRACIÓN,"Directorio de interfaces, flujos de usuario y patrones reales"
Variant,https://variant.com/community,GALERÍAS DE INSPIRACIÓN,Galería infinita que ofrece referencias y diseños al deslizar
PageAI,https://pageai.pro,MCPs/HERRAMIENTAS,Constructor de páginas web profesional impulsado por agentes de IA
Toolfolio,https://toolfolio.com,MCPs/HERRAMIENTAS,"Buscador y directorio de herramientas de IA, software y productividad"
Craftwork,https://craftwork.design,OTRAS,"Plataforma de recursos de diseño, ilustraciones, maquetas y tipografías"
Flyerwrk,https://flyerwrk.com,OTRAS,"Activos gráficos analógicos, texturas, maquetas y bundles de diseño"
MotionSites AI,https://motionsites.ai,OTRAS,Prompts para crear páginas web y animaciones estéticas con IA
design-inspiration.md (arsenal AT),archivo local: C:/Users/rgs84/.gemini/config/design-inspiration.md,Contexto (técnicas y brand kit),"Documento con técnicas de diseño, tokens de color, brand kit y reglas de motion"
Active Theory,https://activetheory.net,EXPERIENCIAS WEB,"Estudio creativo: experiencias web inmersivas premiadas (WebGL, scroll-driven, narrativa cinematográfica)"
StringTune,https://string-tune.fiddle.digital,HERRAMIENTAS,"Librería JS de efectos web attribute-driven: smooth parallax scrolling, cursor dinámico, progress tracking, autoplay video"
